_id,_importdate,case_t,district,case_f,build_name,location,landa,landa_z,sdate,scnt,trans_target,sbuild,tbuild,buitype,pbuild,mbuild,fdate,farea,build_r,build_l,build_b,build_p,rule,build_c,tprice,uprice,upnote,parktype,parea,pprice,elevator,mb_area,sb_area,pu_area,rmnote,longitude,latitude,metro_in500,metro_in1000,metro_in1500
755,"{'date': '2024-12-18 10:34:29.578270', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,萬華區,房屋,,臺北市西園路二段261巷12弄8號,0.0,,1131105,土地:建物:1車位:,,一層,4.0,公寓(無電梯),住家用,,,27.05,1.0,0.0,1.0,有,無,無,2,739.37,否,,0.0,0,,,,,,121.4926155,25.0252628,0,0,1
756,"{'date': '2024-12-18 10:34:29.579619', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,4.38,,1131031,土地:6建物:1車位:1,0棟A2-6F號,六層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,43.58,3.0,2.0,2.0,有,,,3838,109.47,否,坡道平面1,11.17,290,,19.82,1.11,22.65,,121.5715037999999,25.08608229999997,0,2,2
757,"{'date': '2024-12-18 10:34:29.580911', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,松山區,房屋,,臺北市健康路400號四樓,0.0,,1131107,土地:建物:1車位:,,四層,4.0,公寓(無電梯),住家用,,,22.3,2.0,2.0,1.0,有,無,有,2,762.33,否,,0.0,0,,,,,,121.5661372,25.0541422,0,1,4
758,"{'date': '2024-12-18 10:34:29.582204', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋+車位,,臺北市行義路12之2號五樓,0.0,,1131101,土地:建物:1車位:1,,五層,11.0,住宅大樓(11層含以上有電梯),住家用,,,36.76,3.0,2.0,2.0,有,有,有,7,1768.23,是,坡道平面1,0.0,0,,,,,租金：含下列其他衍生費用：管理費、其他-二代健保費。,121.5265614,25.1246197,0,0,0
759,"{'date': '2024-12-18 10:34:29.583551', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,松山區,房地(土地+建物),京釀,臺北市松山區南京東路五段２９１巷２９弄２３號,2.48,,1131029,土地:3建物:1車位:0,0棟A2-7F號,七層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,12.54,1.0,1.0,1.0,有,,,1650,131.58,否,,0.0,0,,6.87,0.8,4.88,,121.5668765,25.05295749999998,0,1,3
760,"{'date': '2024-12-18 10:34:29.585077', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,5.04,,1131022,土地:6建物:1車位:1,0棟A1-15F號,十五層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,48.47,3.0,2.0,2.0,有,,,4722,117.21,否,坡道平面1,11.17,350,,22.14,1.95,24.38,,121.5715037999999,25.08608229999997,0,2,2
761,"{'date': '2024-12-18 10:34:29.586567', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市中山北路七段14巷19號五樓,0.0,,1131101,土地:建物:1車位:,,五層,7.0,華廈(10層含以下有電梯),住家用,,,44.42,3.0,2.0,2.0,有,有,有,6,1350.74,否,,0.0,0,,,,,租金：含下列其他衍生費用：管理費。其他：續租案件。,121.532361,25.11890219999999,0,0,0
762,"{'date': '2024-12-18 10:34:29.588043', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市雙城街23號十三樓之6,1.51,,1090518,土地:1建物:1車位:,,十三層,,大樓(11層含以上有電梯),見其他登記事項,,,15.95,1.0,1.0,1.0,有,有,,1326,83.13,否,,0.0,0,有,,,,"預售屋、或土地及建物分件登記案件。原買方於109年11月26日辦理換約給許○○，許○○於113年8月8日再辦理換約，交易金額為17,000,000元。",121.5243628,25.06595419999999,1,5,9
763,"{'date': '2024-12-18 10:34:29.589425', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,松山區,房地(土地+建物),京釀,臺北市松山區南京東路五段２９１巷２９弄２３號,2.48,,1131022,土地:3建物:1車位:0,0棟A2-6F號,六層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,12.54,1.0,1.0,1.0,有,,,1625,129.59,否,,0.0,0,,6.87,0.8,4.88,,121.5668765,25.05295749999998,0,1,3
764,"{'date': '2024-12-18 10:34:29.591530', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市天母西路117巷59號三樓之1,0.0,,1131101,土地:0建物:1車位:,,三層,7.0,華廈(10層含以下有電梯),住家用,,,10.8,1.0,0.0,1.0,有,有,有,2,1527.78,否,,0.0,0,,,,,其他：續租案件。,121.5245892,25.12168860000001,0,0,1
765,"{'date': '2024-12-18 10:34:29.593045', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,文山區,房地(土地+建物)+車位,蔚來之森,臺北市文山區福興路97號,1911.5,,1131016,土地:2建物:1車位:1,D棟3號,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,25.09,2.0,2.0,1.0,有,,,1420,60.61,否,其他1,4.3,160,,13.44,1.36,10.28,,121.5491455,25.00620600000001,0,1,3
766,"{'date': '2024-12-18 10:34:29.599562', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物),,臺北市民權東路六段435號,2.91,,1131020,土地:2建物:1車位:,,一層,,大樓(11層含以上有電梯),見其他登記事項,,,14.57,0.0,1.0,1.0,有,有,,1515,103.98,否,,0.0,0,有,,,,,121.6042153,25.0715456,0,2,3
767,"{'date': '2024-12-18 10:34:29.601104', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物),力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,3.64,,1131014,土地:6建物:1車位:,0棟A5-13F號,十三層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,26.92,2.0,2.0,1.0,有,,,3098,115.08,否,,0.0,0,,14.82,2.56,9.54,,121.5715037999999,25.08608229999997,0,2,2
768,"{'date': '2024-12-18 10:34:29.606826', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,萬華區,房地(土地+建物)+車位,龍邦豐馥,臺北市萬華區西園路二段,4.18,,1131026,土地:34建物:1車位:1,1棟B6-5F號,五層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,,43.56,2.0,2.0,2.0,有,,,2750,81.77,否,坡道平面1,13.66,305,,17.12,2.73,23.71,,121.49519,25.02820049999998,0,1,1
769,"{'date': '2024-12-18 10:34:29.608447', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,文山區,房屋,,臺北市興隆路三段221巷4弄14號,0.0,,1131101,土地:建物:1車位:,,一層,5.0,公寓(無電梯),住家用,,,29.94,3.0,2.0,1.0,有,有,有,3,1002.0,否,,0.0,0,,,,,,121.5601243999999,24.99369469999999,0,2,3
770,"{'date': '2024-12-18 10:34:29.609823', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,車位,,臺北市忠孝東路四段248巷27、29號房屋地下層,1.95,,1130722,土地:1建物:1車位:1,,地下一層,,,見其他登記事項,,,10.62,,,,無,有,,450,0.0,-,坡道平面1,10.62,450,有,,,,僅車位交易。,121.5543016,25.039682,1,2,14
771,"{'date': '2024-12-18 10:34:29.611338', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物),,臺北市大安路一段206巷2號二樓之1,9.98,,1131017,土地:3建物:1車位:,,二層,,公寓(5樓含以下無電梯),,,,33.01,3.0,2.0,2.0,有,無,,3960,119.96,否,,0.0,0,無,,,,建築物含有：其他增建。,121.5458203,25.03463669999998,4,10,15
772,"{'date': '2024-12-18 10:34:29.612772', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,信義區,房屋,,臺北市光復南路447之2號十二樓之4,0.0,,1131104,土地:建物:1車位:,,十二層,12.0,住宅大樓(11層含以上有電梯),住家用,,,9.27,1.0,0.0,1.0,有,有,有,2,1618.12,否,,0.0,0,,,,,其他：此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。。,121.5580605,25.0352215,0,4,7
773,"{'date': '2024-12-18 10:34:29.614260', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市長安東路一段81號五樓,18.91,,1130902,土地:1建物:1車位:,,五層,,華廈(10層含以下有電梯),商業用,,,96.35,,,,無,有,,6500,67.46,否,,0.0,0,有,,,,,121.5283776,25.04844500000004,0,6,15
774,"{'date': '2024-12-18 10:34:29.615799', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物)+車位,,臺北市天母東路105巷9弄6號十樓,6.5,,1130422,土地:1建物:1車位:1,,十層,,大樓(11層含以上有電梯),見其他登記事項,,,42.96,3.0,2.0,2.0,有,有,,3960,95.92,否,其他1,3.97,220,有,,,,預售屋、或土地及建物分件登記案件。,121.5359491,25.1191641,0,0,0
775,"{'date': '2024-12-18 10:34:29.618658', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市西園路二段372巷101弄37號三樓,3.84,,1130808,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,9.79,2.0,1.0,1.0,有,有,,310,31.66,否,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.4902918,25.02755129999998,0,0,1
776,"{'date': '2024-12-18 10:34:29.620378', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,吾雙,臺北市大安區信義路四段408號,6.6,,1131009,土地:19建物:1車位:2,A棟A5-30F號,三十層,31.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,91.0,4.0,2.0,2.0,有,,,15807,212.07,否,坡道平面2,21.65,1100,,41.22,6.1,43.67,雨遮計坪不計價,121.5570157,25.03288339999999,1,3,9
777,"{'date': '2024-12-18 10:34:29.621826', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大同區,房地(土地+建物),,臺北市民權西路91號九樓之6,0.74,,1131008,土地:1建物:1車位:,,九層,,大樓(11層含以上有電梯),住家用,,,9.05,1.0,1.0,1.0,有,有,,950,104.97,否,,0.0,0,有,,,,,121.5188695,25.06307640000001,2,8,11
778,"{'date': '2024-12-18 10:34:29.623389', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,內湖區,房屋+車位,,臺北市南京東路六段497號十二樓,0.0,,1131105,土地:建物:1車位:1,,十二層,14.0,辦公商業大樓,見其他登記事項,,,53.54,,,,無,有,無,6,1124.52,是,坡道平面1,0.0,4000,,,,,租金：含稅。,121.5880152,25.06143500000001,0,0,1
779,"{'date': '2024-12-18 10:34:29.624760', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,土地,,臺北市文德段三小段0062-0004地號,1658.5,,1131106,土地:6建物:0車位:,,,,,,,,0.0,,,,無,無,,11424,6.89,-,,0.0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。113年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,121.58541825327217,25.0789081817289,1,1,2
780,"{'date': '2024-12-18 10:34:29.626406', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,文山區,房地(土地+建物)+車位,,臺北市育英街61號七樓之1,4.44,,1131108,土地:1建物:1車位:1,,"一層,陽臺,屋頂突出物,地下一層,地下二層",,華廈(10層含以下有電梯),住家用,,,31.99,1.0,2.0,1.0,有,有,,1875,88.17,否,坡道平面1,13.56,250,有,,,,建築物含有：陽臺外推。機房增建,121.5386472,24.99202990000001,1,1,6
781,"{'date': '2024-12-18 10:34:29.627707', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物)+車位,,臺北市復興南路一段127號三樓之2,4.03,,1130920,土地:1建物:1車位:1,,三層,,大樓(11層含以上有電梯),商業用,,,47.56,3.0,2.0,1.0,有,有,,4580,103.64,否,坡道平面1,7.23,400,有,,,,建築物含有：陽台外推、其他增建。,121.5440649,25.0431812,4,9,18
782,"{'date': '2024-12-18 10:34:29.629512', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,土地,,臺北市通化段六小段0344-0000地號,0.35,,1131106,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,43,122.86,-,,0.0,0,無,,,,,121.5542672,25.0301412,1,2,9
783,"{'date': '2024-12-18 10:34:29.631112', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,北投區,房地(土地+建物)+車位,遠雄泱玥,臺北市北投區福真路,6.58,,1131006,土地:1建物:1車位:1,A03棟F14號,十四層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,44.81,3.0,2.0,2.0,有,,,5592,142.45,否,坡道平面1,7.87,330,,21.62,2.4,20.79,,121.5053002,25.09818089999997,0,0,0
784,"{'date': '2024-12-18 10:34:29.632807', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物),,臺北市成功路二段312巷45號五樓,10.11,,1131004,土地:1建物:1車位:,,五層,,公寓(5樓含以下無電梯),住家用,,,31.26,3.0,2.0,1.0,有,無,,1900,60.78,否,,0.0,0,無,,,,建築物含有：陽台外推、頂樓加蓋、其他增建。,121.5884627,25.06732820000001,0,0,1
785,"{'date': '2024-12-18 10:34:29.634296', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市天玉街38巷16弄10號五樓,0.0,,1131106,土地:建物:1車位:,,五層,5.0,公寓(無電梯),住家用,,,25.88,3.0,2.0,2.0,有,無,有,2,656.88,否,,0.0,0,,,,,,121.529769,25.12029579999999,0,0,0
786,"{'date': '2024-12-18 10:34:29.635866', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,建物,,臺北市龍江路120巷9號,0.0,,1130828,土地:0建物:1車位:1,,"一層,夾層",,大樓(11層含以上有電梯),商業用,,,32.72,0.0,0.0,1.0,有,有,,1262,38.57,-,坡道平面1,0.0,0,有,,,,,121.5400078,25.05367299999999,3,6,15
787,"{'date': '2024-12-18 10:34:29.637340', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,車位,,臺北市石牌路二段362號地下室,0.36,,1131114,土地:1建物:1車位:2,,地下層,,,見使用執照,,,24.02,,,,無,有,,360,0.0,-,坡道平面2,0.0,360,有,,,,僅車位交易。,121.5255664,25.12351410000001,0,0,0
788,"{'date': '2024-12-18 10:34:29.638996', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中正區,房屋,,臺北市汀州路一段283號六樓之2,0.0,,1131107,土地:建物:1車位:,,六層,7.0,華廈(10層含以下有電梯),住家用,,,47.73,4.0,2.0,2.0,有,有,無,3,628.54,否,,0.0,0,,,,,,121.5137859,25.0263709,0,4,5
789,"{'date': '2024-12-18 10:34:29.640414', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,房地(土地+建物),,臺北市公館路63巷9弄4號二樓,11.4,,1130912,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,27.28,3.0,2.0,1.0,有,無,,940,34.46,否,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5045524,25.1331297,1,2,2
790,"{'date': '2024-12-18 10:34:29.641661', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物)+車位,,臺北市中山北路六段441巷30號十一樓,8.08,,1130721,土地:1建物:1車位:2,,十一層,,大樓(11層含以上有電梯),見其他登記事項,,,64.08,,,,無,有,,6830,143.06,否,坡道平面2,21.23,700,有,,,,特殊交易情況、條件：毛胚屋。,121.5269592,25.11708959999998,0,0,2
791,"{'date': '2024-12-18 10:34:29.643226', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,車位,,臺北市民和街98號等共有部分,0.02,,1131115,土地:1建物:1車位:2,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,十四層,十五層,屋頂突出物,地下一層,地下二層,地下三層",15.0,,見其他登記事項,鋼筋混凝土造,1121213.0,20.6,,,,無,有,,510,0.0,-,坡道平面2,20.59,510,有,,,,僅車位交易。,121.5654268,25.0329636,2,3,6
792,"{'date': '2024-12-18 10:34:29.644748', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,車位,,臺北市民和街98號等共有部分,0.01,,1131125,土地:1建物:1車位:1,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,十四層,十五層,屋頂突出物,地下一層,地下二層,地下三層",15.0,,見其他登記事項,鋼筋混凝土造,1121213.0,10.3,,,,無,有,,190,0.0,-,坡道平面1,10.3,190,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。僅車位交易。,121.4975,25.02547429999999,0,0,1
793,"{'date': '2024-12-18 10:34:29.646252', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大同區,房屋,,臺北市哈密街168號四樓,0.0,,1131101,土地:建物:1車位:,,四層,5.0,公寓(無電梯),住家用,,,15.36,2.0,1.0,1.0,有,無,有,2,1106.77,否,,0.0,0,,,,,其他：續租案件。,121.5128065,25.07280280000002,0,1,4
794,"{'date': '2024-12-18 10:34:29.647609', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市立農街一段312號,5.58,,1131107,土地:1建物:1車位:,,一層,9.0,華廈(10層含以下有電梯),商業用,,,26.02,,,,無,無,無,4,1503.27,否,,0.0,0,,,,,,121.5064931,25.11939860000002,0,2,2
795,"{'date': '2024-12-18 10:34:29.648960', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,吾雙,臺北市大安區信義路四段408號,5.46,,1131105,土地:19建物:1車位:1,A棟A2-31F號,三十一層,31.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,69.26,3.0,2.0,2.0,有,,,13350,216.5,否,坡道平面1,10.83,700,,34.43,5.48,29.35,雨遮計坪不計價,121.5570157,25.03288339999999,1,3,9
796,"{'date': '2024-12-18 10:34:29.650621', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市建國北路三段81巷14號四樓,7.87,,1130815,土地:1建物:1車位:,,四層,,公寓(5樓含以下無電梯),住家用,,,30.11,3.0,2.0,1.0,有,無,,1912,63.5,否,,0.0,0,無,,,,,121.53782,25.065494,0,2,4
