_id,_importdate,case_t,district,case_f,build_name,location,landa,landa_z,sdate,scnt,trans_target,sbuild,tbuild,buitype,pbuild,mbuild,fdate,farea,build_r,build_l,build_b,build_p,rule,build_c,tprice,uprice,upnote,parktype,parea,pprice,elevator,mb_area,sb_area,pu_area,rmnote,longitude,latitude,metro_in500,metro_in1000,metro_in1500
1,"{'date': '2024-12-18 10:34:28.441907', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市中山北路五段699巷12號,0.0,,1131105,土地:建物:車位:,,二層,2.0,透天厝,住家用,,,4.5,3.0,0.0,3.0,有,無,有,1,0.0,-,,0.0,0,,,,,,121.52659438643232,25.097694738546075,0,2,4
2,"{'date': '2024-12-18 10:34:28.454653', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物)+車位,,臺北市漢口街一段57號十四樓之5,2.39,,1130918,土地:1建物:1車位:1,,十四層,,大樓(11層含以上有電梯),見其他登記事項,,,37.88,2.0,1.0,1.0,有,有,,3745,125.51,否,坡道平面1,10.67,330,有,,,,,121.512277,25.04527490000001,3,6,12
3,"{'date': '2024-12-18 10:34:28.456672', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市泰順街54巷6號二樓,0.0,,1131106,土地:建物:1車位:,,二層,5.0,公寓(無電梯),住家用,,,38.22,4.0,2.0,2.0,有,無,無,4,915.75,否,,0.0,0,,,,,,121.5307902,25.02255019999998,1,3,8
4,"{'date': '2024-12-18 10:34:28.458352', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物)+車位,,臺北市敬業三路162巷57號七樓,14.24,,1130913,土地:1建物:1車位:1,,七層,,華廈(10層含以下有電梯),住家用,,,47.1,3.0,2.0,2.0,有,有,,3528,74.9,是,坡道平面1,0.0,0,有,,,,建築物含有：陽台外推、其他增建。抽籤車位，一年一抽。,121.5588843,25.0783403,0,1,4
5,"{'date': '2024-12-18 10:34:28.460228', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市信義路三段147巷17弄17號四樓之2,0.0,,1131101,土地:建物:1車位:,,四層,7.0,華廈(10層含以下有電梯),住家用,,,8.35,1.0,1.0,1.0,有,無,有,2,2383.23,否,,0.0,0,,,,,,121.5430799,25.03558549999998,4,10,16
6,"{'date': '2024-12-18 10:34:28.461704', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,萬華區,房屋,,臺北市德昌街147巷9號四樓,0.0,,1131106,土地:建物:1車位:,,四層,5.0,公寓(無電梯),住家用,,,28.0,3.0,2.0,1.0,有,無,無,2,535.71,否,,0.0,0,,,,,,121.4965236,25.0256546,0,0,1
7,"{'date': '2024-12-18 10:34:28.462952', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,土地,,臺北市通化段六小段0344-0000地號,0.97,,1131106,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,142,146.39,-,,0.0,0,無,,,,,121.5542672,25.0301412,1,2,9
8,"{'date': '2024-12-18 10:34:28.464472', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市吉林路393巷19號四樓,8.77,,1131104,土地:1建物:1車位:,,四層,4.0,公寓(無電梯),住家用,,,24.3,3.0,2.0,2.0,有,無,無,3,1358.02,否,,0.0,0,,,,,,121.5311883,25.0657432,0,2,9
9,"{'date': '2024-12-18 10:34:28.465759', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物),,臺北市中華路二段309巷16號三樓,4.46,,1131101,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),,,,10.62,1.0,1.0,1.0,有,無,,620,58.38,否,,0.0,0,無,,,,,121.5059833,25.02875990000002,0,1,6
10,"{'date': '2024-12-18 10:34:28.467190', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市承德路四段294號六樓,5.83,,1131027,土地:1建物:1車位:,,六層,,大樓(11層含以上有電梯),住家用,,,43.7,4.0,2.0,2.0,有,有,,3000,68.65,否,,0.0,0,有,,,,建築物含有：其他增建。,121.51908,25.08941599999998,0,2,3
11,"{'date': '2024-12-18 10:34:28.468680', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,信義區,房地(土地+建物)+車位,緻信義,臺北市信義區基隆路二段64~72號,0.89,,1131107,土地:5建物:1車位:1,0棟C號,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,36.49,3.0,2.0,2.0,有,,,5228,165.66,否,其他1,6.38,240,,19.77,1.46,15.26,,121.5582574,25.03117220000001,0,2,8
12,"{'date': '2024-12-18 10:34:28.470193', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物)+車位,,臺北市信義路五段91巷12弄1號六樓之8,4.97,,1131119,土地:1建物:1車位:1,,"一層,地下一層,地下二層,地下三層",,華廈(10層含以下有電梯),住家用,,,33.61,1.0,1.0,1.0,有,有,,2850,130.18,否,坡道平面1,14.56,370,有,,,,,121.5715572,25.0337559,1,3,4
13,"{'date': '2024-12-18 10:34:28.471758', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,房地(土地+建物),,臺北市復興北路361巷18號七樓,6.66,,1131028,土地:1建物:1車位:,,七層,,華廈(10層含以下有電梯),住家用,,,39.06,3.0,2.0,2.0,有,有,,3550,90.89,否,,0.0,0,有,,,,,121.5458594,25.06031880000002,1,4,8
14,"{'date': '2024-12-18 10:34:28.473448', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,中正區,房地(土地+建物),南陽龍踞,臺北市中正區黎明里里南陽街,2.1,,1130802,土地:8建物:1車位:,0棟C號,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,21.05,2.0,1.0,1.0,有,,,2993,142.19,否,,0.0,0,,12.07,1.0,7.98,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5155891,25.04447419999999,3,7,14
15,"{'date': '2024-12-18 10:34:28.475052', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,土地,,臺北市溪洲段二小段0202-0001地號,776.42,,1130807,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,20963,27.0,-,,0.0,0,無,,,,,121.5654177,25.03296939999999,2,3,6
16,"{'date': '2024-12-18 10:34:28.476612', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,房地(土地+建物),,臺北市八德路四段8號六樓,8.78,,1130818,土地:1建物:1車位:,,六層,,華廈(10層含以下有電梯),住家用,,,51.24,4.0,2.0,2.0,有,無,,4100,80.02,否,,0.0,0,有,,,,建築物含有：其他增建。,121.5581978,25.04794779999998,1,3,6
17,"{'date': '2024-12-18 10:34:28.478981', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物)+車位,,臺北市南京東路六段451巷57號四樓,4.88,,1130929,土地:1建物:1車位:1,,四層,,大樓(11層含以上有電梯),商業用,,,30.52,,,,無,有,,2300,82.29,否,坡道機械1,5.0,200,有,,,,,121.5869348999999,25.0619605,0,0,1
18,"{'date': '2024-12-18 10:34:28.480423', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市國興路1巷5號九樓之1,8.18,,1131024,土地:1建物:1車位:,,九層,,大樓(11層含以上有電梯),住家用,,,30.78,2.0,2.0,1.0,有,有,,1582,51.4,否,,0.0,0,有,,,,,121.5091845,25.0243156,0,0,6
19,"{'date': '2024-12-18 10:34:28.481851', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,師大浦玉,臺北市大安區浦城街15、19號,6.46,,1131101,土地:2建物:1車位:1,0棟3F-A2號,三層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,39.06,2.0,2.0,2.0,有,,,4627,129.96,否,升降機械1,5.15,220,,18.29,2.13,18.64,毛胚屋。,121.527006,25.02443139999999,1,3,9
20,"{'date': '2024-12-18 10:34:28.483291', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物),,臺北市羅斯福路三段100之57號,0.3,,1131023,土地:4建物:1車位:,,一層,,大樓(11層含以上有電梯),商業用,,,1.96,1.0,0.0,0.0,有,無,,100,51.02,否,,0.0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5272065,25.02122610000001,1,3,6
21,"{'date': '2024-12-18 10:34:28.484788', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市明德路121號一樓,11.57,,1131107,土地:1建物:1車位:,,一層,4.0,店面(店鋪),住家用,,,35.55,,,,無,無,無,7,2025.32,否,,0.0,0,,,,,租金：含稅。租賃標的：租賃期間有約定不同租金-第一年72000元(含稅)，第二~四年75000(含稅)，第五~六年78000元(含稅)。。,121.519982,25.10995670000001,1,3,3
22,"{'date': '2024-12-18 10:34:28.486242', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物)+車位,,臺北市內湖路一段91巷83號五樓,6.63,,1130927,土地:1建物:1車位:1,,五層,,華廈(10層含以下有電梯),見其他登記事項,,,27.44,2.0,1.0,2.0,有,無,,2395,86.48,否,其他1,2.0,195,有,,,,管委會尚未成立,121.5625443,25.08918329999999,0,2,2
23,"{'date': '2024-12-18 10:34:28.487656', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,萬華區,房地(土地+建物)+車位,龍邦豐馥,臺北市萬華區西園路二段,5.26,,1131103,土地:34建物:1車位:1,1棟B3-10F號,十層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,,51.51,3.0,2.0,2.0,有,,,3760,90.09,否,坡道平面1,13.66,350,,21.86,3.22,26.43,,121.49519,25.02820049999998,0,1,1
24,"{'date': '2024-12-18 10:34:28.489166', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市明德路335巷20號二樓,0.0,,1131107,土地:建物:1車位:,,二層,4.0,公寓(無電梯),住家用,,,31.08,3.0,2.0,2.0,有,無,有,3,1093.95,否,,0.0,0,,,,,其他：續租案件。,121.5191971,25.11679689999998,0,2,2
25,"{'date': '2024-12-18 10:34:28.490700', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,萬華區,房屋,,臺北市萬大路618巷35號,0.0,,1131107,土地:建物:1車位:,,一層,3.0,公寓(無電梯),,,,18.5,1.0,2.0,1.0,有,無,有,2,1081.08,否,,0.0,0,,,,,,121.4948477,25.01758899999999,0,0,2
26,"{'date': '2024-12-18 10:34:28.492023', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,中正區,房地(土地+建物),南陽龍踞,臺北市中正區黎明里里南陽街,2.1,,1130812,土地:8建物:1車位:,0棟C號,十層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,21.05,2.0,1.0,1.0,有,,,3088,146.7,否,,0.0,0,,12.07,1.0,7.98,,121.5155891,25.04447419999999,3,7,14
27,"{'date': '2024-12-18 10:34:28.493341', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物),,臺北市虎林街232巷15之1號,2.63,,1131114,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,6.46,3.0,2.0,1.0,有,無,,305,47.21,否,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.57703,25.036488,0,2,5
28,"{'date': '2024-12-18 10:34:28.494863', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市中山北路七段82巷15號二樓,10.89,,1130812,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,34.66,3.0,2.0,2.0,有,無,,2450,70.69,否,,0.0,0,無,,,,建築物含有：其他增建。,121.5327655,25.12126450000001,0,0,0
29,"{'date': '2024-12-18 10:34:28.496343', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,松山區,房地(土地+建物)+車位,鳴森苑,臺北市松山區延壽街,5.97,,1131102,土地:1建物:1車位:2,B棟B3-11F號,十一層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,57.91,3.0,2.0,2.0,有,,,5800,135.5,否,坡道平面2,20.42,720,,22.59,2.27,33.05,雨遮面積  3.98平方公尺,121.5619399,25.05674260000001,0,1,3
30,"{'date': '2024-12-18 10:34:28.498385', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物),,臺北市紫雲街38號,16.22,,1130913,土地:1建物:1車位:,,一層,,華廈(10層含以下有電梯),見其他登記事項,,,23.9,,,,無,有,,2390,100.0,否,,0.0,0,有,,,,,121.5756334,25.0158221,0,1,1
31,"{'date': '2024-12-18 10:34:28.499725', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物),吾雙,臺北市大安區信義路四段408號,2.83,,1130924,土地:19建物:1車位:,A棟A11-01F號,一層,31.0,店面(店鋪),見其他登記事項,見其他登記事項,,25.43,0.0,0.0,1.0,有,,,4680,184.03,否,,0.0,0,,20.28,0.0,5.15,雨遮計坪不計價,121.5570157,25.03288339999999,1,3,9
32,"{'date': '2024-12-18 10:34:28.501075', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市四維路52巷17號三樓之1,0.0,,1131106,土地:建物:車位:,,三層,4.0,公寓(無電梯),,,,4.0,5.0,1.0,2.0,有,無,有,2,3875.0,否,,0.0,0,,,,,租金：含下列其他衍生費用：網路費。,121.5471809,25.03518539999997,2,9,14
33,"{'date': '2024-12-18 10:34:28.502673', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市復興南路二段9號八樓,0.0,,1131104,土地:建物:車位:,,十一層,12.0,住宅大樓(11層含以上有電梯),商業用,,,10.0,4.0,3.0,4.0,有,有,有,3,2500.0,否,,0.0,0,,,,,,121.543805,25.032754,4,11,16
34,"{'date': '2024-12-18 10:34:28.504255', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物)+車位,,臺北市和平東路一段250號八樓,4.53,,1130124,土地:2建物:1車位:1,,八層,,大樓(11層含以上有電梯),住家用,,,51.27,1.0,0.0,2.0,有,有,,9685,188.9,是,塔式車位1,3.62,0,有,,,,,121.5330105,25.02598299999999,0,4,12
35,"{'date': '2024-12-18 10:34:28.505975', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,文山區,房地(土地+建物),,臺北市育英街79號五樓之1,4.8,,1131019,土地:1建物:1車位:,,五層,,華廈(10層含以下有電梯),見其他登記事項,,,20.41,1.0,1.0,1.0,有,無,,1810,88.68,否,,0.0,0,有,,,,建築物含有：夾層、其他增建。,121.5387607,24.99248999999999,1,1,6
36,"{'date': '2024-12-18 10:34:28.507626', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,信義區,房屋,,臺北市虎林街242巷63號,0.0,,1131107,土地:建物:1車位:,,一層,4.0,公寓(無電梯),住家用,,,18.7,2.0,1.0,1.0,有,無,有,3,1336.9,否,,0.0,0,,,,,,121.5763367,25.03537729999998,0,2,4
37,"{'date': '2024-12-18 10:34:28.509212', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,文山區,房地(土地+建物),,臺北市公館街12號七樓,6.57,,1130915,土地:1建物:1車位:,,七層,,華廈(10層含以下有電梯),住家用,,,26.11,3.0,1.0,1.0,有,無,,576,22.06,否,,0.0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：陽臺外推。,121.5381139,25.00527270000001,1,2,3
38,"{'date': '2024-12-18 10:34:28.510655', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市龍江路305巷16號,0.0,,1131104,土地:建物:1車位:,,一層,4.0,公寓(無電梯),住家用,,,21.55,,,,無,無,無,7,3155.45,否,,0.0,0,,,,,,121.5418445,25.06097710000002,1,2,10
39,"{'date': '2024-12-18 10:34:28.512627', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,房地(土地+建物)+車位,,臺北市致遠一路二段120號十四樓,8.22,,1091211,土地:2建物:1車位:1,,十四層,,大樓(11層含以上有電梯),見其他登記事項,,,56.8,3.0,2.0,2.0,有,無,,4450,90.89,否,坡道平面1,11.36,320,有,,,,預售屋、或土地及建物分件登記案件。登記名義人變更，111年8月29日簽立預售房地買賣契約，買賣總價款新台幣4700萬元整（含1平面車位新台幣320萬元整）,121.5125972,25.1136983,1,2,2
40,"{'date': '2024-12-18 10:34:28.514077', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物),,臺北市懷寧街78號五樓之2,1.49,,1131104,土地:2建物:1車位:,,五層,,華廈(10層含以下有電梯),商業用,,,15.45,0.0,1.0,0.0,有,有,,1230,79.61,否,,0.0,0,有,,,,,121.5139858,25.04312780000001,3,8,14
41,"{'date': '2024-12-18 10:34:28.515663', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市忠孝東路四段181巷40弄4號三樓,0.0,,1131106,土地:建物:1車位:,,三層,6.0,華廈(10層含以下有電梯),住家用,,,40.84,3.0,2.0,2.0,有,有,無,6,1371.2,否,,0.0,0,,,,,租金：含下列其他衍生費用：管理費。,121.5505279,25.04381330000002,0,6,15
42,"{'date': '2024-12-18 10:34:28.517265', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物),,臺北市民權東路六段296巷90號三樓,10.8,,1131104,土地:1建物:1車位:,,三層,,大樓(11層含以上有電梯),住家用,,,53.38,4.0,2.0,2.0,有,有,,3850,72.12,否,,0.0,0,有,,,,建築物含有：陽台外推、其他增建。,121.6103818,25.0688463,2,2,5
43,"{'date': '2024-12-18 10:34:28.519014', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,信義區,房地(土地+建物)+車位,吉祥．如藝,臺北市信義區基隆路一段,1.54,,1131103,土地:10建物:1車位:1,A棟3號,十六層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,29.86,2.0,2.0,1.0,有,,,3398,139.33,否,坡道平面1,8.45,415,,12.78,1.37,15.71,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5647643,25.04187739999999,1,3,6
44,"{'date': '2024-12-18 10:34:28.520550', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大同區,房地(土地+建物)+車位,,臺北市興城街70號六樓之7,7.21,,1131109,土地:1建物:1車位:1,,六層,,大樓(11層含以上有電梯),住家用,,,61.06,4.0,2.0,3.0,有,有,,5928,109.87,否,坡道平面1,9.47,260,有,,,,,121.5173871,25.05938509999999,3,8,13
45,"{'date': '2024-12-18 10:34:28.522063', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,信義區,房地(土地+建物)+車位,璞松高,臺北市信義區忠孝東路五段236巷10弄10號2樓,3.97,,1131102,土地:11建物:1車位:1,0棟A2-11F號,十一層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,37.71,2.0,2.0,1.0,有,,,5260,179.5,否,坡道平面1,10.3,340,,16.57,1.41,19.73,,121.571395,25.04014400000002,1,3,7
46,"{'date': '2024-12-18 10:34:28.523504', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物)+車位,,臺北市建國北路一段150號五樓,1.87,,1130901,土地:1建物:1車位:1,,五層,,大樓(11層含以上有電梯),住家用,,,20.09,,,,無,有,,1700,108.7,否,升降機械1,5.83,150,有,,,,建築物含有：夾層、其他增建。,121.5363919,25.05145099999999,2,5,15
47,"{'date': '2024-12-18 10:34:28.525019', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大同區,房地(土地+建物),,臺北市延平北路二段286號三樓,2.7,,1130922,土地:1建物:1車位:,,三層,,華廈(10層含以下有電梯),商業用,,,21.7,2.0,1.0,1.0,有,有,,1500,69.12,否,,0.0,0,有,,,,建築物含有：其他增建。,121.5109026,25.06252109999999,1,3,10
48,"{'date': '2024-12-18 10:34:28.526433', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,松山區,房地(土地+建物),京釀,臺北市松山區南京東路五段２９１巷２９弄２３號,3.84,,1131031,土地:3建物:1車位:0,0棟A1-2F號,二層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,19.41,2.0,1.0,1.0,有,,,2280,117.47,否,,0.0,0,,10.57,1.29,7.54,,121.5668765,25.05295749999998,0,1,3
49,"{'date': '2024-12-18 10:34:28.527947', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大同區,房屋,,臺北市延平北路三段18巷25號二樓,0.0,,1131101,土地:建物:1車位:,,二層,4.0,公寓(無電梯),住家用,,,32.96,2.0,2.0,1.0,有,無,無,4,1061.89,否,,0.0,0,,,,,,121.510016,25.06400559999999,1,3,7
50,"{'date': '2024-12-18 10:34:28.529380', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市長春路40號七樓之5,1.41,,1131010,土地:1建物:1車位:,,七層,,大樓(11層含以上有電梯),商業用,,,17.72,,,,無,有,,450,25.4,否,,0.0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5251775,25.05477819999999,2,9,14
51,"{'date': '2024-12-18 10:34:28.531059', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物)+車位,,臺北市樂群三路72號二樓,29.98,,1130907,土地:1建物:1車位:2,,二層,,大樓(11層含以上有電梯),見其他登記事項,,,151.35,4.0,2.0,5.0,有,有,,12200,80.61,是,坡道平面2,22.31,0,有,,,,建築物含有：其他增建。,121.5534654,25.08245909999999,1,2,2
52,"{'date': '2024-12-18 10:34:28.532899', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市松江路194巷10號四樓之1,0.0,,1131106,土地:建物:1車位:,,四層,5.0,公寓(無電梯),住家用,,,17.14,1.0,0.0,1.0,有,無,有,3,1896.15,否,,0.0,0,,,,,,121.5318526999999,25.05710580000001,1,4,15
53,"{'date': '2024-12-18 10:34:28.534632', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大同區,房屋,,臺北市延平北路二段227號,0.0,,1131107,土地:建物:車位:,,三層,4.0,透天厝,,,,6.81,7.0,2.0,9.0,有,無,有,2,0.0,-,,0.0,0,,,,,租金：含下列其他衍生費用：水費、網路費。,121.511515,25.06027299999999,1,4,10
54,"{'date': '2024-12-18 10:34:28.536201', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,南港區,房屋,,臺北市向陽路126號三樓,0.0,,1131101,土地:建物:1車位:,,三層,5.0,公寓(無電梯),住家用,,,18.97,1.0,0.0,1.0,有,無,無,2,1049.02,否,,0.0,0,,,,,,121.5954345,25.0548117,0,1,3
55,"{'date': '2024-12-18 10:34:28.537935', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,房地(土地+建物)+車位,,臺北市中和街511號五樓,6.78,,1130916,土地:1建物:1車位:1,,五層,,華廈(10層含以下有電梯),住家用,,,34.38,2.0,1.0,1.0,有,無,,1420,41.3,是,升降平面1,11.93,0,有,,,,建築物含有：其他增建、陽台外推。,121.494159,25.1452219,0,0,2
56,"{'date': '2024-12-18 10:34:28.539556', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,中山區,房地(土地+建物),松江WOW,臺北市中山區松江路372巷4之2號共3筆,2.69,,1131102,土地:6建物:1車位:,0棟A1-8F號,八層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,14.3,1.0,1.0,1.0,有,,,1708,119.44,否,,0.0,0,,7.89,0.86,5.55,,121.5340893,25.0616715,1,2,11
57,"{'date': '2024-12-18 10:34:28.541332', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市溫泉路71號七樓之18,0.0,,1131104,土地:建物:1車位:,,七層,7.0,華廈(10層含以下有電梯),住家用,,,8.97,1.0,0.0,1.0,有,無,有,2,2118.17,否,,0.0,0,,,,,租金：含下列其他衍生費用：水費、網路費、其他-垃圾處理費。其他：續租案件。,121.5049047,25.13557069999997,1,1,2
58,"{'date': '2024-12-18 10:34:28.542779', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物),,臺北市紫雲街26號六樓,8.68,,1131020,土地:1建物:1車位:,,六層,,華廈(10層含以下有電梯),住家用,,,39.45,3.0,2.0,2.0,有,無,,1888,47.86,否,,0.0,0,有,,,,,121.5743212,25.0180335,0,1,1
59,"{'date': '2024-12-18 10:34:28.544260', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市中山北路一段53巷8號三樓之13,0.0,,1131106,土地:建物:1車位:,,三層,12.0,住宅大樓(11層含以上有電梯),住家用,,,14.79,1.0,1.0,1.0,有,有,有,3,2231.24,否,,0.0,0,,,,,租金：含下列其他衍生費用：管理費。,121.5221629,25.0490779,0,8,15
60,"{'date': '2024-12-18 10:34:28.545698', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,萬華區,房地(土地+建物)+車位,興洋君冠,臺北市萬華區萬壽里漢口街二段64號,5.21,,1131103,土地:32建物:1車位:2,0棟B2-4F號,四層,22.0,住宅大樓(11層含以上有電梯),住商用,鋼骨鋼筋混凝土造,,91.93,3.0,1.0,1.0,有,,,5900,72.99,否,坡道平面2,18.63,550,,42.47,6.94,42.52,此戶為露臺戶，坪數為3.12坪。,121.505109,25.04598500000001,0,3,8
61,"{'date': '2024-12-18 10:34:28.547276', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,土地,,臺北市敦化段三小段0535-0000地號,6.44,,1131125,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,2200,341.61,-,,0.0,0,無,,,,特殊交易情況、條件：具重建或重劃、都更等效益。,121.5654268,25.0329636,2,3,6
62,"{'date': '2024-12-18 10:34:28.548690', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,文山區,房地(土地+建物)+車位,,臺北市試院路152號三樓,8.02,,1131013,土地:2建物:1車位:1,,三層,,華廈(10層含以下有電梯),住家用,,,18.93,2.0,0.0,1.0,有,有,,750,39.62,是,塔式車位1,0.0,0,有,,,,建築物含有：其他增建、陽臺外推。,121.5469162,24.99016330000001,0,3,3
63,"{'date': '2024-12-18 10:34:28.550229', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,土地,,臺北市百齡段五小段0323-0000地號,1.21,,1131113,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,104,85.95,-,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5654268,25.0329636,2,3,6
64,"{'date': '2024-12-18 10:34:28.551823', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市基隆路二段188號十二樓之11,0.0,,1131107,土地:建物:1車位:,,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,,,10.53,1.0,1.0,1.0,有,有,無,2,2089.27,否,,0.0,0,,,,,,121.5529367,25.02492630000001,0,3,8
