case_t,district,case_f,landa,scnt,sbuild,buitype,pbuild,farea,build_r,build_l,build_b,build_p,rule,tprice,upnote,parktype,parea,elevator,metro_in500,metro_in1000,metro_in1500
買賣,萬華區,房地(土地+建物),5.07,土地:2建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,4.83,2.0,1.0,1.0,有,無,280,否,,0.0,無,0,0,0
買賣,萬華區,房地(土地+建物),34.79,土地:2建物:1車位:,"一層,二層,騎樓",透天厝,,51.13,3.0,2.0,1.0,有,無,3375,-,,0.0,無,1,1,4
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:1,六層,住宅大樓(11層含以上有電梯),住家用,50.81,3.0,2.0,2.0,有,,4640,否,坡道平面1,11.17,,0,2,2
買賣,萬華區,房地(土地+建物),5.58,土地:1建物:1車位:,七層,大樓(11層含以上有電梯),住家用,25.91,3.0,2.0,1.0,有,有,2050,否,,0.0,有,0,0,4
買賣,內湖區,房地(土地+建物)+車位,6.63,土地:1建物:1車位:1,四層,華廈(10層含以下有電梯),見其他登記事項,27.44,2.0,1.0,2.0,有,無,2600,否,其他1,2.0,有,0,2,2
預售屋,大安區,房地(土地+建物)+車位,6.6,土地:19建物:1車位:2,三十層,住宅大樓(11層含以上有電梯),住家用,91.48,4.0,2.0,2.0,有,,16388,否,坡道平面2,21.65,,1,3,9
買賣,中正區,車位,0.0,土地:0建物:1車位:1,地下層,,見其他登記事項,14.48,,,,無,有,300,-,坡道平面1,0.0,有,1,2,4
買賣,北投區,車位,0.05,土地:1建物:1車位:3,"地下一層,地下二層",,見其他登記事項,6.21,,,,無,有,450,-,坡道機械3,0.0,有,0,1,1
買賣,內湖區,房地(土地+建物),6.74,土地:1建物:1車位:,五層,公寓(5樓含以下無電梯),住家用,24.73,3.0,1.0,1.0,有,無,1435,否,,0.0,無,0,0,1
預售屋,北投區,房地(土地+建物)+車位,23.51,土地:1建物:1車位:5,十二層,辦公商業大樓,商業用,206.86,,,,無,,13055,否,坡道平面5,36.01,,0,0,0
買賣,松山區,房地(土地+建物)+車位,7.52,土地:1建物:1車位:1,九層,華廈(10層含以下有電梯),見其他登記事項,51.31,3.0,2.0,2.0,有,無,4443,否,升降平面1,13.3,有,2,4,12
買賣,萬華區,房地(土地+建物),7.26,土地:2建物:1車位:,四層,公寓(5樓含以下無電梯),工業用,26.31,5.0,0.0,5.0,有,無,1360,否,,0.0,無,0,0,1
買賣,大安區,房地(土地+建物),2.23,土地:2建物:1車位:,六層,華廈(10層含以下有電梯),住家用,10.57,1.0,2.0,1.0,有,有,1538,否,,0.0,有,2,7,8
買賣,松山區,房地(土地+建物),2.06,土地:1建物:1車位:,一層,華廈(10層含以下有電梯),商業用,11.12,0.0,1.0,1.0,有,無,1640,否,,0.0,有,1,3,11
買賣,中山區,車位,0.02,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層",,見其他登記事項,6.55,,,,無,有,220,-,其他1,6.55,有,3,11,15
買賣,萬華區,房地(土地+建物),6.81,土地:2建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,19.48,2.0,1.0,1.0,有,無,910,否,,0.0,無,0,0,1
買賣,士林區,房地(土地+建物),18.15,土地:2建物:1車位:,"一層,二層,騎樓",透天厝,住家用,26.2,7.0,3.0,3.0,有,無,1398,-,,0.0,無,1,2,3
預售屋,文山區,房地(土地+建物),3.76,土地:26建物:1車位:0,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,23.5,2.0,2.0,1.0,有,,2256,否,,0.0,,0,0,2
預售屋,北投區,房地(土地+建物)+車位,27.35,土地:1建物:1車位:5,十二層,辦公商業大樓,商業用,234.73,,,,無,,14877,否,坡道平面5,36.01,,0,0,0
買賣,松山區,房地(土地+建物),1.81,土地:2建物:1車位:,十層,大樓(11層含以上有電梯),商業用,17.67,1.0,1.0,1.0,有,有,1530,否,,0.0,有,2,2,7
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),住家用,50.81,3.0,2.0,2.0,有,,4828,否,坡道平面1,11.17,,0,2,2
買賣,士林區,房地(土地+建物),7.1,土地:1建物:1車位:,四層,華廈(10層含以下有電梯),住家用,37.93,3.0,2.0,2.0,有,無,3300,否,,0.0,有,0,1,2
預售屋,大安區,房地(土地+建物)+車位,3.57,土地:19建物:1車位:1,三十一層,住宅大樓(11層含以上有電梯),住家用,50.39,3.0,2.0,2.0,有,,8966,否,坡道平面1,10.83,,1,3,9
買賣,中正區,房地(土地+建物)+車位,12.13,土地:3建物:1車位:6,三層,大樓(11層含以上有電梯),住家用,120.06,4.0,2.0,2.0,有,有,16880,是,坡道機械6,34.54,有,1,6,9
買賣,北投區,房地(土地+建物)+車位,7.73,土地:1建物:1車位:2,十一層,大樓(11層含以上有電梯),住家用,58.13,2.0,1.0,2.0,有,有,3147,否,坡道平面2,22.29,有,1,1,2
買賣,大同區,房地(土地+建物),1.69,土地:1建物:1車位:,二層,華廈(10層含以下有電梯),商業用,13.03,2.0,0.0,1.0,有,無,1098,否,,0.0,有,0,9,12
買賣,大安區,房地(土地+建物)+車位,5.36,土地:2建物:1車位:1,四層,大樓(11層含以上有電梯),住家用,57.48,,,,無,有,8115,是,塔式車位1,3.62,有,0,4,12
預售屋,內湖區,房地(土地+建物)+車位,3.64,土地:6建物:1車位:1,九層,住宅大樓(11層含以上有電梯),住家用,38.09,2.0,2.0,1.0,有,,3292,否,坡道平面1,11.17,,0,2,2
買賣,中山區,房地(土地+建物),8.32,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,40.34,3.0,2.0,2.0,有,無,2000,否,,0.0,無,0,2,4
買賣,內湖區,房地(土地+建物),10.32,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,36.41,3.0,2.0,2.0,有,無,800,否,,0.0,無,0,2,3
買賣,士林區,房地(土地+建物),3.65,土地:1建物:1車位:,六層,華廈(10層含以下有電梯),住家用,13.48,,,,無,有,1105,否,,0.0,有,0,1,2
買賣,萬華區,建物,0.0,土地:0建物:1車位:,九層,大樓(11層含以上有電梯),住家用,8.57,1.0,1.0,1.0,有,有,410,-,,0.0,有,2,3,8
買賣,中正區,房地(土地+建物),2.28,土地:2建物:2車位:,三層,大樓(11層含以上有電梯),商業用,17.09,3.0,1.0,1.0,有,有,2025,否,,0.0,有,2,5,9
買賣,北投區,房地(土地+建物)+車位,3.14,土地:1建物:1車位:1,七層,華廈(10層含以下有電梯),住家用,17.71,0.0,1.0,1.0,有,有,1360,否,塔式車位1,5.26,有,0,0,1
買賣,中山區,房地(土地+建物),9.26,土地:2建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,31.8,3.0,2.0,2.0,有,無,2605,否,,0.0,無,1,5,9
買賣,大安區,房地(土地+建物),4.86,土地:1建物:1車位:,八層,大樓(11層含以上有電梯),住家用,24.99,2.0,1.0,1.0,有,有,2300,否,,0.0,有,1,6,8
買賣,大同區,房地(土地+建物)+車位,7.6,土地:1建物:1車位:1,五層,大樓(11層含以上有電梯),商業用,61.97,4.0,2.0,2.0,有,有,3950,是,塔式車位1,0.0,有,0,4,11
預售屋,內湖區,房地(土地+建物)+車位,3.64,土地:6建物:1車位:1,六層,住宅大樓(11層含以上有電梯),住家用,38.09,2.0,2.0,1.0,有,,3205,否,坡道平面1,11.17,,0,2,2
買賣,中正區,房地(土地+建物),2.94,土地:1建物:2車位:,五層,大樓(11層含以上有電梯),商業用,28.31,3.0,2.0,1.0,有,有,2080,否,,0.0,有,2,9,13
買賣,文山區,房地(土地+建物)+車位,22.47,土地:6建物:1車位:1,十七層,大樓(11層含以上有電梯),住家用,44.98,3.0,2.0,2.0,有,有,2700,是,坡道機械1,0.0,有,0,1,2
買賣,大安區,房地(土地+建物),2.63,土地:1建物:1車位:,十二層,大樓(11層含以上有電梯),住家用,23.12,2.0,3.0,2.0,有,有,2920,否,,0.0,有,4,7,15
買賣,內湖區,房地(土地+建物),13.74,土地:2建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,37.19,3.0,2.0,2.0,有,無,2100,否,,0.0,無,0,3,3
買賣,大安區,房地(土地+建物)+車位,4.5,土地:2建物:1車位:1,四層,大樓(11層含以上有電梯),住家用,51.4,0.0,0.0,2.0,有,有,7226,是,塔式車位1,3.62,有,0,4,12
預售屋,北投區,房地(土地+建物)+車位,28.13,土地:1建物:1車位:5,十三層,辦公商業大樓,商業用,240.4,,,,無,,15332,否,坡道平面5,36.01,,0,0,0
買賣,中正區,房地(土地+建物)+車位,14.8,土地:2建物:1車位:2,十六層,大樓(11層含以上有電梯),見其他登記事項,94.91,3.0,2.0,2.0,有,有,11498,否,坡道平面2,23.7,有,0,5,9
買賣,士林區,房地(土地+建物)+車位,13.16,土地:1建物:1車位:3,六層,大樓(11層含以上有電梯),見其他登記事項,101.85,,,,無,有,9938,否,坡道平面3,31.86,有,0,0,2
買賣,萬華區,房地(土地+建物),14.67,土地:1建物:1車位:,"三層,四層",公寓(5樓含以下無電梯),,48.44,7.0,4.0,2.0,有,無,4300,否,,0.0,無,1,1,4
預售屋,信義區,房地(土地+建物),1.6,土地:2建物:1車位:,八層,住宅大樓(11層含以上有電梯),住家用,18.9,2.0,1.0,1.0,有,,2548,否,,0.0,,1,3,7
買賣,信義區,房地(土地+建物),2.02,土地:2建物:1車位:,"一層,二層,陽臺,平台,騎樓",透天厝,商業用,2.67,,,,無,無,300,-,,0.0,無,1,2,7
買賣,信義區,房地(土地+建物),8.85,土地:1建物:1車位:,"三層,陽臺",公寓(5樓含以下無電梯),住家用,25.55,3.0,2.0,1.0,有,無,2108,否,,0.0,無,1,2,7
買賣,中山區,房地(土地+建物),0.12,土地:1建物:1車位:,五層,華廈(10層含以下有電梯),住家用,0.97,,,,無,有,58,否,,0.0,有,1,5,8
預售屋,信義區,房地(土地+建物),1.6,土地:2建物:1車位:,六層,住宅大樓(11層含以上有電梯),住家用,18.9,2.0,1.0,1.0,有,,2436,否,,0.0,,1,3,7
買賣,內湖區,房地(土地+建物),7.64,土地:1建物:1車位:,"三層,陽台",公寓(5樓含以下無電梯),住家用,26.48,3.0,2.0,1.0,有,無,1115,否,,0.0,無,1,1,3
預售屋,中正區,房地(土地+建物),2.1,土地:8建物:1車位:,十一層,住宅大樓(11層含以上有電梯),住家用,21.05,2.0,1.0,1.0,有,,3176,否,,0.0,,3,7,14
預售屋,大安區,房地(土地+建物)+車位,3.99,土地:19建物:1車位:1,七層,住宅大樓(11層含以上有電梯),見其他登記事項,55.0,0.0,0.0,1.0,有,,8132,否,坡道平面1,10.83,,1,3,9
預售屋,中正區,房地(土地+建物),2.44,土地:8建物:1車位:,五層,住宅大樓(11層含以上有電梯),住家用,24.54,2.0,1.0,1.0,有,,3472,否,,0.0,,3,7,14
預售屋,大安區,房地(土地+建物)+車位,5.46,土地:19建物:1車位:1,三十層,住宅大樓(11層含以上有電梯),住家用,69.26,3.0,2.0,2.0,有,,13168,否,坡道平面1,10.83,,1,3,9
預售屋,信義區,房地(土地+建物),1.52,土地:2建物:1車位:,二層,住宅大樓(11層含以上有電梯),住家用,18.01,2.0,1.0,1.0,有,,1980,否,,0.0,,1,3,7
買賣,北投區,房地(土地+建物)+車位,8.29,土地:1建物:1車位:1,四層,大樓(11層含以上有電梯),見其他登記事項,53.37,3.0,2.0,2.0,有,有,5300,否,坡道平面1,11.28,有,0,1,3
預售屋,中正區,房地(土地+建物),2.1,土地:8建物:1車位:,六層,住宅大樓(11層含以上有電梯),住家用,21.05,2.0,1.0,1.0,有,,3115,否,,0.0,,3,7,14
買賣,信義區,房地(土地+建物),3.1,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,9.34,2.0,1.0,1.0,有,無,650,否,,0.0,無,1,1,1
買賣,中正區,房地(土地+建物),5.28,土地:1建物:1車位:,六層,華廈(10層含以下有電梯),住家用,31.67,3.0,2.0,2.0,有,無,2225,否,,0.0,有,0,5,6
預售屋,內湖區,房地(土地+建物)+車位,3.64,土地:6建物:1車位:1,十五層,住宅大樓(11層含以上有電梯),住家用,38.09,2.0,2.0,1.0,有,,3472,否,坡道平面1,11.17,,0,2,2
預售屋,中正區,房地(土地+建物)+車位,2.69,土地:1建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,38.45,3.0,2.0,2.0,有,,4747,否,塔式車位1,4.29,,1,6,11
預售屋,中正區,房地(土地+建物),2.53,土地:8建物:1車位:,十一層,住宅大樓(11層含以上有電梯),住家用,25.41,2.0,1.0,2.0,有,,3777,否,,0.0,,3,7,14
預售屋,文山區,房地(土地+建物)+車位,5.37,土地:2建物:1車位:1,三十二層,住宅大樓(11層含以上有電梯),住家用,40.59,3.0,2.0,2.0,有,,4261,否,坡道平面1,7.5,,0,2,3
買賣,松山區,房地(土地+建物),12.78,土地:1建物:1車位:,"三層,陽臺",公寓(5樓含以下無電梯),住家用,34.68,3.0,2.0,2.0,有,無,1200,否,,0.0,無,0,0,1
買賣,內湖區,房地(土地+建物)+車位,5.88,土地:1建物:1車位:1,七層,華廈(10層含以下有電梯),見其他登記事項,24.55,2.0,1.0,1.0,有,無,2272,否,其他1,2.0,有,0,2,2
預售屋,大安區,房地(土地+建物),2.57,土地:19建物:1車位:,十五層,住宅大樓(11層含以上有電梯),住家用,29.69,2.0,2.0,1.0,有,,5530,否,,0.0,,1,3,9
預售屋,內湖區,房地(土地+建物)+車位,3.66,土地:6建物:1車位:1,六層,住宅大樓(11層含以上有電梯),住家用,38.24,2.0,2.0,1.0,有,,3299,否,坡道平面1,11.17,,0,2,2
買賣,北投區,房地(土地+建物),7.44,土地:2建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,34.4,3.0,2.0,2.0,有,無,2080,否,,0.0,無,0,2,2
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:1,五層,住宅大樓(11層含以上有電梯),住家用,50.81,3.0,2.0,2.0,有,,4546,否,坡道平面1,11.17,,0,2,2
預售屋,北投區,房地(土地+建物)+車位,10.09,土地:1建物:1車位:2,九層,住宅大樓(11層含以上有電梯),住家用,72.32,4.0,2.0,2.0,有,,8486,否,坡道平面2,15.74,,0,0,0
預售屋,萬華區,房地(土地+建物)+車位,5.26,土地:34建物:1車位:1,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,51.51,3.0,2.0,2.0,有,,3690,否,坡道平面1,13.66,,0,1,1
買賣,中正區,房地(土地+建物)+車位,7.11,土地:2建物:2車位:1,十三層,大樓(11層含以上有電梯),住家用,46.38,2.0,2.0,2.0,有,有,4485,否,塔式車位1,6.52,有,0,8,17
預售屋,中正區,房地(土地+建物)+車位,2.61,土地:1建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,37.46,3.0,2.0,2.0,有,,4615,否,塔式車位1,4.29,,1,6,11
預售屋,萬華區,房地(土地+建物)+車位,5.26,土地:34建物:1車位:1,七層,住宅大樓(11層含以上有電梯),見其他登記事項,51.51,3.0,2.0,2.0,有,,3507,否,坡道平面1,13.66,,0,1,1
買賣,北投區,房地(土地+建物),2.24,土地:1建物:1車位:,五層,華廈(10層含以下有電梯),住家用,12.24,1.0,1.0,1.0,有,有,880,否,,0.0,有,0,0,0
買賣,內湖區,房地(土地+建物)+車位,2.76,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層",大樓(11層含以上有電梯),商業用,28.15,2.0,1.0,1.0,有,有,1588,是,坡道平面1,13.89,有,0,2,3
預售屋,內湖區,房地(土地+建物)+車位,3.66,土地:6建物:1車位:1,十二層,住宅大樓(11層含以上有電梯),住家用,38.24,2.0,2.0,1.0,有,,3492,否,坡道平面1,11.17,,0,2,2
預售屋,萬華區,房地(土地+建物)+車位,3.51,土地:34建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,38.59,2.0,2.0,2.0,有,,2500,否,坡道平面1,13.66,,0,1,1
買賣,內湖區,房地(土地+建物),4.99,土地:2建物:1車位:,"一層,地下一層",華廈(10層含以下有電梯),商業用,21.72,1.0,1.0,1.0,有,有,1970,否,,0.0,有,0,1,4
買賣,大安區,房地(土地+建物)+車位,5.24,土地:2建物:1車位:1,二層,大樓(11層含以上有電梯),住家用,44.18,2.0,1.0,1.0,有,有,5150,否,坡道平面1,9.37,有,4,7,17
買賣,信義區,房地(土地+建物)+車位,3.8,土地:1建物:1車位:1,十層,大樓(11層含以上有電梯),住家用,35.34,2.0,2.0,1.0,有,有,4610,是,坡道機械1,0.0,有,1,3,5
買賣,北投區,房地(土地+建物)+車位,14.77,土地:1建物:1車位:1,六層,華廈(10層含以下有電梯),住家用,38.34,2.0,2.0,2.0,有,有,2630,是,坡道機械1,7.86,有,0,0,0
預售屋,中正區,房地(土地+建物)+車位,3.48,土地:8建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,38.28,3.0,2.0,2.0,有,,5345,否,塔式車位1,3.28,,3,7,14
預售屋,文山區,房地(土地+建物)+車位,9.34,土地:2建物:1車位:2,二十一層,住宅大樓(11層含以上有電梯),住家用,72.56,3.0,2.0,3.0,有,,6807,否,坡道平面2,15.0,,0,2,3
買賣,萬華區,房地(土地+建物),4.49,土地:1建物:1車位:,八層,大樓(11層含以上有電梯),住家用,33.3,3.0,2.0,2.0,有,有,2150,否,,0.0,有,0,0,6
買賣,內湖區,房地(土地+建物),2.67,土地:1建物:1車位:,四層,大樓(11層含以上有電梯),商業用,14.25,2.0,1.0,1.0,有,有,1290,否,,0.0,有,0,1,3
買賣,北投區,車位,0.02,土地:1建物:1車位:1,"地下一層,地下二層",,見其他登記事項,2.07,,,,無,有,150,-,坡道機械1,0.0,有,0,1,1
買賣,松山區,房地(土地+建物),1.17,土地:1建物:1車位:,四層,大樓(11層含以上有電梯),見其他登記事項,10.84,1.0,1.0,1.0,有,有,1500,否,,0.0,有,1,2,4
買賣,信義區,房地(土地+建物),9.28,土地:1建物:1車位:,"三層,陽臺",公寓(5樓含以下無電梯),住家用,27.05,3.0,2.0,1.0,有,無,2175,否,,0.0,無,1,3,5
預售屋,松山區,房地(土地+建物)+車位,7.11,土地:16建物:1車位:3,十五層,住宅大樓(11層含以上有電梯),住家用,76.8,,,,無,,9500,否,坡道平面3,30.01,,3,8,15
預售屋,北投區,房地(土地+建物)+車位,10.08,土地:1建物:1車位:1,十九層,住宅大樓(11層含以上有電梯),住家用,64.41,4.0,2.0,2.0,有,,8220,否,坡道平面1,7.87,,0,0,0
買賣,內湖區,房地(土地+建物)+車位,7.62,土地:1建物:1車位:1,二層,華廈(10層含以下有電梯),見其他登記事項,31.23,2.0,1.0,2.0,有,無,2700,否,其他1,2.0,有,0,2,2
買賣,文山區,房地(土地+建物)+車位,21.55,土地:1建物:1車位:1,八層,華廈(10層含以下有電梯),見其他登記事項,41.75,3.0,2.0,2.0,有,有,1930,是,坡道平面1,0.0,有,0,0,1
買賣,信義區,房地(土地+建物),3.38,土地:1建物:1車位:,二層,華廈(10層含以下有電梯),住家用,11.15,1.0,1.0,1.0,有,有,790,否,,0.0,有,0,0,2
預售屋,萬華區,房地(土地+建物)+車位,5.26,土地:34建物:1車位:1,四層,住宅大樓(11層含以上有電梯),見其他登記事項,51.51,3.0,2.0,2.0,有,,3390,否,坡道平面1,13.66,,0,1,1
預售屋,萬華區,房地(土地+建物),1.44,土地:1建物:1車位:,六層,住宅大樓(11層含以上有電梯),住家用,18.32,2.0,1.0,1.0,有,,2337,否,,0.0,,2,7,10
預售屋,大安區,房地(土地+建物)+車位,3.79,土地:1建物:1車位:1,五層,住宅大樓(11層含以上有電梯),住家用,35.62,2.0,2.0,2.0,有,,4750,否,升降平面1,8.95,,3,8,18
買賣,大安區,房地(土地+建物),10.23,土地:3建物:1車位:,"一層,見使用執照",公寓(5樓含以下無電梯),,28.15,4.0,2.0,4.0,有,無,2900,否,,0.0,無,1,3,13
預售屋,大安區,房地(土地+建物)+車位,6.46,土地:19建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),住家用,80.66,4.0,2.0,2.0,有,,14000,否,坡道平面1,10.83,,1,3,9
買賣,中山區,房地(土地+建物),9.53,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),,27.75,,,,無,無,1690,否,,0.0,無,0,9,13
買賣,內湖區,房地(土地+建物)+車位,12.67,土地:2建物:1車位:2,十一層,大樓(11層含以上有電梯),商業用,84.7,4.0,2.0,2.0,有,有,4600,否,坡道平面2,20.89,有,0,0,0
買賣,中山區,房地(土地+建物),2.61,土地:2建物:1車位:,三層,大樓(11層含以上有電梯),住家用,14.03,,,,無,有,1580,否,,0.0,有,3,9,11
買賣,大安區,房地(土地+建物),12.04,土地:1建物:1車位:,"三層,陽臺",公寓(5樓含以下無電梯),,41.61,3.0,2.0,3.0,有,無,4498,否,,0.0,無,4,10,16
買賣,內湖區,房地(土地+建物),8.23,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,28.4,3.0,2.0,2.0,有,有,1850,否,,0.0,無,1,2,3
買賣,中正區,房地(土地+建物)+車位,6.9,土地:2建物:1車位:2,九層,大樓(11層含以上有電梯),見其他登記事項,83.31,,,,無,有,10412,否,"坡道機械1,坡道平面1",26.44,有,2,7,20
買賣,信義區,房地(土地+建物)+車位,10.57,土地:1建物:1車位:2,四層,大樓(11層含以上有電梯),住家用,87.96,2.0,2.0,2.0,有,有,6800,是,升降平面2,10.29,有,1,2,6
預售屋,大安區,房地(土地+建物),2.41,土地:19建物:1車位:,一層,店面(店鋪),見其他登記事項,21.62,0.0,0.0,1.0,有,,4108,否,,0.0,,1,3,9
預售屋,大安區,房地(土地+建物),3.19,土地:19建物:1車位:,十層,住宅大樓(11層含以上有電梯),見其他登記事項,36.77,0.0,0.0,1.0,有,,6435,否,,0.0,,1,3,9
買賣,大安區,房地(土地+建物)+車位,5.38,土地:2建物:1車位:2,九層,大樓(11層含以上有電梯),住家用,61.06,,,,無,有,9380,是,塔式車位2,7.24,有,0,4,12
買賣,內湖區,房地(土地+建物),8.5,土地:2建物:1車位:,五層,華廈(10層含以下有電梯),見其他登記事項,16.48,1.0,1.0,1.0,有,有,1750,否,,0.0,有,0,1,4
買賣,信義區,房地(土地+建物),8.43,土地:2建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,32.67,3.0,2.0,2.0,有,有,2268,否,,0.0,無,0,0,3
預售屋,內湖區,房地(土地+建物),3.64,土地:6建物:1車位:,五層,住宅大樓(11層含以上有電梯),住家用,26.92,2.0,2.0,1.0,有,,2886,否,,0.0,,0,2,2
買賣,內湖區,房地(土地+建物),13.22,土地:1建物:1車位:,五層,公寓(5樓含以下無電梯),住家用,37.49,4.0,2.0,3.0,有,無,1500,否,,0.0,無,1,2,3
買賣,文山區,房地(土地+建物)+車位,13.78,土地:2建物:1車位:2,十三層,大樓(11層含以上有電梯),住家用,91.46,3.0,2.0,2.0,有,有,5688,否,坡道平面2,24.82,有,0,2,2
買賣,北投區,建物,0.0,土地:0建物:1車位:1,七層,華廈(10層含以下有電梯),住家用,28.2,1.0,2.0,1.0,有,有,745,-,升降機械1,4.4,有,0,1,3
預售屋,中正區,房地(土地+建物),1.67,土地:8建物:1車位:,六層,住宅大樓(11層含以上有電梯),住家用,16.8,1.0,1.0,1.0,有,,2419,否,,0.0,,3,7,14
買賣,內湖區,房地(土地+建物)+車位,15.61,土地:1建物:1車位:1,六層,大樓(11層含以上有電梯),住家用,69.03,3.0,2.0,2.0,有,有,5800,否,坡道平面1,10.99,有,0,2,3
買賣,中山區,房地(土地+建物),0.99,土地:6建物:1車位:,十二層,大樓(11層含以上有電梯),住家用,9.83,1.0,1.0,1.0,有,有,770,否,,0.0,有,0,8,16
買賣,士林區,房地(土地+建物),4.27,土地:1建物:1車位:,三層,華廈(10層含以下有電梯),住家用,31.89,2.0,2.0,1.0,有,有,2300,否,,0.0,有,1,1,3
買賣,大安區,房地(土地+建物),6.53,土地:1建物:1車位:,五層,華廈(10層含以下有電梯),住家用,29.93,3.0,2.0,2.0,有,無,980,否,,0.0,有,1,6,8
買賣,大安區,房地(土地+建物),13.76,土地:2建物:1車位:,一層,透天厝,,25.66,3.0,2.0,2.0,有,無,2000,-,,0.0,無,4,8,18
預售屋,中正區,房地(土地+建物),2.1,土地:8建物:1車位:,四層,住宅大樓(11層含以上有電梯),住家用,21.05,2.0,1.0,1.0,有,,3038,否,,0.0,,3,7,14
買賣,北投區,房地(土地+建物)+車位,15.52,土地:3建物:1車位:1,二層,華廈(10層含以下有電梯),住家用,30.28,2.0,2.0,1.0,有,有,2100,否,坡道機械1,2.96,有,0,1,2
買賣,大安區,房地(土地+建物)+車位,5.37,土地:2建物:1車位:1,八層,大樓(11層含以上有電梯),住家用,57.32,2.0,1.0,1.0,有,有,9760,是,塔式車位1,3.62,有,0,4,12
預售屋,信義區,房地(土地+建物)+車位,2.84,土地:10建物:1車位:1,二十二層,住宅大樓(11層含以上有電梯),住家用,47.83,3.0,2.0,2.0,有,,5949,否,坡道平面1,8.45,,1,3,6
預售屋,大安區,房地(土地+建物)+車位,4.24,土地:1建物:1車位:1,二層,住宅大樓(11層含以上有電梯),住家用,38.49,2.0,2.0,2.0,有,,5215,否,升降平面1,8.62,,3,8,18
買賣,大安區,房地(土地+建物)+車位,5.46,土地:2建物:1車位:1,八層,大樓(11層含以上有電梯),住家用,61.75,3.0,2.0,2.0,有,有,6968,否,塔式車位1,5.43,有,2,5,8
預售屋,中正區,房地(土地+建物),1.67,土地:8建物:1車位:,五層,住宅大樓(11層含以上有電梯),住家用,16.8,1.0,1.0,1.0,有,,2486,否,,0.0,,3,7,14
預售屋,中正區,房地(土地+建物)+車位,2.61,土地:1建物:1車位:1,十三層,住宅大樓(11層含以上有電梯),住家用,37.46,3.0,2.0,2.0,有,,4715,否,塔式車位1,4.29,,1,6,11
買賣,內湖區,房地(土地+建物),7.31,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,25.16,3.0,2.0,2.0,有,無,1512,否,,0.0,無,1,2,3
買賣,大安區,房地(土地+建物),3.81,土地:1建物:1車位:,八層,大樓(11層含以上有電梯),住家用,39.7,2.0,3.0,1.0,有,有,3170,否,,0.0,有,2,5,8
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:1,十五層,住宅大樓(11層含以上有電梯),住家用,50.81,3.0,2.0,2.0,有,,4965,否,坡道平面1,11.17,,0,2,2
預售屋,內湖區,房地(土地+建物)+車位,4.38,土地:6建物:1車位:1,八層,住宅大樓(11層含以上有電梯),住家用,43.58,3.0,2.0,2.0,有,,3911,否,坡道平面1,11.17,,0,2,2
買賣,士林區,房地(土地+建物)+車位,7.15,土地:1建物:1車位:1,九層,大樓(11層含以上有電梯),見其他登記事項,46.9,3.0,2.0,2.0,有,有,4335,否,其他1,3.97,有,0,0,0
買賣,中正區,房地(土地+建物)+車位,2.53,土地:1建物:1車位:1,十二層,大樓(11層含以上有電梯),見其他登記事項,40.01,2.0,1.0,1.0,有,有,4230,否,坡道平面1,11.42,有,3,9,14
買賣,中正區,房地(土地+建物)+車位,12.56,土地:2建物:1車位:1,八層,大樓(11層含以上有電梯),見其他登記事項,72.81,3.0,2.0,2.0,有,有,8408,否,坡道平面1,11.85,有,0,5,9
買賣,松山區,房地(土地+建物)+車位,4.12,土地:1建物:1車位:2,"一層,地下一層,地下二層",華廈(10層含以下有電梯),見其他登記事項,47.42,2.0,1.0,1.0,有,無,2738,否,升降平面2,26.61,有,2,4,12
預售屋,中山區,房地(土地+建物)+車位,6.24,土地:3建物:1車位:2,七層,住宅大樓(11層含以上有電梯),住家用,62.08,3.0,2.0,2.0,有,,6898,否,坡道平面2,18.45,,1,5,15
